ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume
2.625 ABN 11-21;CH0127860184;ABR113;12786018;107.9;;;20180403;107.9;;0;0;CHF;20180122;110.4;20180329;110;20110426;20210422;XSWX;BO;GB;0
2.625 ADB 09-19;CH0101526678;BAD09;10152667;100.67;100.67;100.67;20190111;100.7;100.67;35000;35000;CHF;20180126;103.98;20190111;100.67;20090520;20190320;XSWX;BO;CI;0
2.625 AFD 10-25;CH0109155827;AFD10;10915582;117.2;;;20180405;117.2;;0;0;CHF;20180117;118.7;20180313;116.45;20100217;20250213;XSWX;BO;FR;0
2.625 CFFL 09-19;CH0106680777;DEX091;10668077;101.97;;;20181109;101.97;;0;0;CHF;20180222;104.7;20181109;102.39;20091110;20190807;XSWX;BO;FR;2200000
2.625 COMP FIN 10-30;CH0115457530;CFF103;11545753;138.4;;;;138.4;;0;0;CHF;;;;;20100816;20300820;XSWX;BO;FR;0
2.625 EIB 10-25;CH0107134683;EIB10;10713468;118.1;;;20181207;118.1;;0;0;CHF;20180529;118.75;20181024;117.05;20100202;20250206;XSWX;BO;LU;0
2.625 EIB 10-30;CH0112120503;EIB103;11212050;142;;;;142;;0;0;CHF;;;;;20100414;20300416;XSWX;BO;LU;0
2.625 ING 11-21;CH0126516043;ING112;12651604;106.75;;;20190103;106.75;;0;0;CHF;20180626;108;20190103;106.75;20110322;20210318;XSWX;BO;NL;0
2.625 NLW 07-22;CH0028608195;NLW07;2860819;110.05;;;20181218;110.05;;0;0;CHF;20181218;110.15;20181217;109.9;20070205;20220202;XSWX;BO;NL;0
2.625 OKB 06-24;CH0027752200;OKB061;2775220;117.05;;;20181211;117.05;;0;0;CHF;20180206;118.1;20181012;115.8;20061117;20241119;XSWX;BO;AT;6400000
2.625 RATP 09-19;CH0027333241;RAT06;2733324;102.67;;;20190107;102.67;;0;0;CHF;20180124;106;20190107;102.67;20061102;20191101;XSWX;BO;FR;560000
2.625 RFF 11-31;CH0124855328;RFF11;12485532;125;;;20190103;125;;0;0;CHF;20190103;126;20180426;122.5;20110307;20310305;XSWX;BO;FR;0
2.625 RFF 11-37;CH0125067774;RFF111;12506777;134.05;;;20180514;134.1;;0;0;CHF;20180123;134.15;20180514;130.85;20110309;20370306;XSWX;BO;FR;0
2.625 SNCFM 06-21;CH0027815288;SNC06;2781528;109;;;20181218;109;;0;0;CHF;20180117;111.45;20181127;108.5;20061211;20211208;XSWX;BO;FR;0
2.625 VLB 09-19;CH0105995762;VLH09;10599576;102.66;;;20190104;102.66;;0;0;CHF;20180326;104.95;20190104;102.68;20091026;20191025;XSWX;BO;AT;0
2.64167 SIGMA VA 18-19/SDL;CH0024019462;SFC063;2401946;0.1;;;20161013;0.1;;0;0;CHF;;;;;20180612;20190611;XSWX;FL;KY;0
2.73 RZD 13-21;CH0205819441;RZD131;20581944;104.2;;;20190109;104.2;;0;0;CHF;20180406;106.5;20180410;103.15;20130222;20210223;XSWX;BO;RU;0
2.75 ASIA 10-30;CH0109156262;ASI10;10915626;128.55;;;20181128;128.55;;0;0;CHF;20180323;128.5;20181018;126.25;20100203;20300206;XSWX;BO;PH;0
2.75 BNG 10-30;CH0111826514;BNG102;11182651;143.1;;;;143.1;;0;0;CHF;;;;;20100409;20300409;XSWX;BO;NL;0
2.75 CFCB 05-20;CH0020371065;EEP05;2037106;103.65;;;20181205;103.65;;0;0;CHF;20180912;104.7;20181205;103.6;20050131;20200204;XSWX;BO;LU;0
2.75 CFCB 07-22;CH0028622600;EEP07;2862260;109.3;;;20180803;109.3;;0;0;CHF;20180803;109.8;20180423;108.85;20070202;20220204;XSWX;BO;LU;0
2.75 GAZPROM 16-21;CH0346828400;GAZ17;34682840;103;103;103;20190111;103.25;103;50000;50000;CHF;20180406;106.95;20180410;101.85;20161129;20211126;XSWX;BO;RU;0
2.75 HAABK 07-17;CH0028623145;HAA071;2862314;105.1;;;20180919;105.1;;0;0;CHF;20180919;100.2;20180919;100.2;20150813;20190806;XSWX;BO;AT;0
2.75 HFI 05-20;CH0020393150;EHL05;2039315;103.55;103.55;103.55;20190111;103.6;103.55;20000;20000;CHF;20180316;105;20190111;103.55;20050203;20200204;XSWX;BO;LU;0
2.75 HSBC 11-21;CH0126453718;HSG111;12645371;110.4;;;;110.4;;0;0;CHF;;;;;20110330;20210329;XSWX;BO;GB;0
2.75 IADB 09-19;CH0100683017;IDB09;10068301;100.93;;;20181213;100.94;;0;0;CHF;20180227;104.1;20181213;101.15;20090409;20190410;XSWX;BO;US;0
2.75 ICICI 13-20;CH0202406440;CIC12;20240644;101.51;;;20181228;101.51;;0;0;CHF;20180201;104.75;20181106;101.47;20130104;20191230;XSWX;BO;AE;0
2.75 KFW 07-37;CH0029008809;KFW07;2900880;138.95;;;20180903;138.95;;0;0;CHF;20180903;136.6;20180903;136.6;20070214;20370211;XSWX;BO;DE;100000
2.75 NETRAIL 06-21;CH0026950078;NRI06;2695007;108.9;;;20190109;108.9;;0;0;CHF;20180411;111.1;20190109;108.9;20060929;20211001;XSWX;BO;GB;0
2.75 NORDEA 11-21;CH0125589850;NDA112;12558985;106.9;;;20181210;106.9;;0;0;CHF;20180131;109.2;20181210;107;20110318;20210317;XSWX;BO;FI;0
2.75 OKB 05-20;CH0020372402;OKB05;2037240;103.67;;;20181130;103.67;;0;0;CHF;20180227;106.65;20181130;103.9;20050126;20200123;XSWX;BO;AT;0
2.75 SLOVAKIA 12-22;CH0181915585;SVK121;18191558;110.25;;;20181004;110.25;;0;0;CHF;20180313;111.95;20181004;110.15;20120423;20220420;XSWX;BO;SK;0
2.75 SNCFM 09-19;CH0020626773;SNC09;2062677;100.08;;;20190110;100.09;;0;0;CHF;20180117;103.51;20190110;100.09;20090227;20190118;XSWX;BO;FR;10000000
2.75 WELTBK 09-19;CH0100128385;WEL09;10012838;101.15;;;20190109;101.15;;0;0;CHF;20180123;104.45;20190109;101.15;20090420;20190502;XSWX;BO;US;0
2.85 GAZPROM 13-19;CH0226274261;GAZ13;22627426;101.88;101.97;101.88;20190111;101.88;101.97;335000;335000;CHF;20180228;104.35;20180912;101.5;20131023;20191022;XSWX;BO;RU;200000
2.875 ALFA 17-22;CH0385518086;ALF17;38551808;98.5;98.5;98.5;20190111;98.5;98.5;5000;5000;CHF;20180326;100.5;20180925;95.1;20171107;20221107;XSWX;BO;IE;0
2.875 CFCB 05-25;CH0020593874;EEP051;2059387;115.25;;;20190103;115.25;;0;0;CHF;20181205;116.5;20180212;113.9;20050307;20250307;XSWX;BO;LU;0
2.875 CFFL 10-30;CH0111862063;DEX10;11186206;137.9;;;;137.9;;0;0;CHF;;;;;20100416;20300418;XSWX;BO;FR;0
2.875 COMP FIN 09-19;CH0104007577;CFF092;10400757;102.4;;;20181217;102.41;;0;0;CHF;20180227;105.55;20181217;102.62;20090901;20190905;XSWX;BO;FR;2350000
2.875 CREDITO 18-22;CH0398677754;CRE18;39867775;98;;;20190110;98;;0;0;CHF;20180312;100.85;20181121;95.65;20180208;20220207;XSWX;BO;MX;0
2.875 KGC 11-19;CH0138775876;KOG111;13877587;102.65;;;20190110;102.65;;0;0;CHF;20180605;104.18;20190110;102.65;20111006;20191008;XSWX;BO;KR;0
2.875 KOM KR 31;CH0026985520;KOK06;2698552;132.05;;;20181115;132.05;;0;0;CHF;20180201;132.7;20181115;129.15;20061009;20311009;XSWX;BO;DK;0
2.875 OKB 05-30;CH0020632144;OKB052;2063214;128.9;;;20190103;128.9;;0;0;CHF;20190103;129.8;20181005;125.65;20050222;20300220;XSWX;BO;AT;0
2.875 QUE 09-21;CH0107559392;QUE092;10755939;109.85;;;20181127;109.85;;0;0;CHF;20180312;111.9;20181127;109.85;20091214;20211214;XSWX;BO;CA;0
2.875 RFF 09-21;CH0013843443;RFF09;1384344;107.45;;;20181221;107.45;;0;0;CHF;20180206;110.35;20181221;107.45;20090224;20210223;XSWX;BO;FR;0
3 BHARAT 14-19;CH0234487392;BHP14;23448739;102.5;;;20190110;102.5;;0;1100000;CHF;20180213;105.6;20181228;101.75;20140318;20191217;XSWX;BO;IN;0
3 BHARTIAIR 14-20;CH0234487426;BAT14;23448742;102.2;102.2;102.2;20190111;102.2;102.2;400000;400000;CHF;20180307;105.9;20181108;100;20140327;20200326;XSWX;BO;NL;0
3 CADES 09-21;CH0100525382;CDS092;10052538;108.4;;;20181120;108.4;;0;0;CHF;20180911;109.35;20181120;108.35;20090417;20210416;XSWX;BO;FR;0
3 CFF 07-22;CH0030876111;CFF071;3087611;111.35;111.35;111.35;20190111;111.5;111.35;450000;450000;CHF;20180116;114.45;20190111;111.35;20070605;20220602;XSWX;BO;FR;0
3 CGI 07-19;CH0029365100;CGI07;2936510;100.7;;;20190108;100.7;;0;0;CHF;20180118;104;20190108;100.7;20070319;20190318;XSWX;BO;US;0
3 EIB091 09-21;CH0100128351;EIB091;10012835;108.6;;;20181206;108.6;;0;0;CHF;20180215;111.35;20181206;108.6;20090409;20210409;XSWX;BO;LU;0
3 ENF 11-20;CH0131078435;ENF111;13107843;104.23;;;20181217;104.23;;0;0;CHF;20180117;107.6;20181129;103.95;20110621;20200618;XSWX;BO;NL;0
3 GATEFIN 17-22;CH0353945394;GAT17;35394539;102.5;102.55;101.55;20190111;102.5;101.55;95000;95000;CHF;20181010;102.95;20180223;95.85;20170224;20220224;XSWX;BO;LU;0
3 HSHN 07-19    /PF;CH0030985599;HSH07;3098559;101.23;;;20190109;101.23;;0;0;CHF;20180129;104.37;20190109;101.23;20070611;20190611;XSWX;BO;DE;2500000
3 ING 11-21;CH0131749134;ING113;13174913;110.8;;;20171228;110.8;;0;0;CHF;;;;;20110616;20211214;XSWX;BO;NL;0
3 MACQ 12-22;CH0199544989;MB121;19954498;110.55;;;20190104;110.55;;0;0;CHF;20180117;114.25;20181130;110.3;20121127;20221124;XSWX;BO;AU;0
3 MFP 09-21;CH0100262069;MFP092;10026206;108.6;;;20181113;108.6;;0;0;CHF;20180213;110.75;20181113;108.7;20090409;20210412;XSWX;BO;FI;0
3 NYK 11-21;CH0131910256;NYK111;13191025;111.05;;;20171214;111.05;;0;0;CHF;;;;;20110705;20210702;XSWX;BO;DK;0
3 OKB 07-22;CH0031102061;OKB071;3110206;112.25;;;20181029;112.25;;0;0;CHF;20180131;114.4;20181005;112.15;20070608;20220609;XSWX;BO;AT;0
3 RFF 09-19;CH0103078231;RFF091;10307823;101.12;;;20181115;101.13;;0;0;CHF;20180115;104.75;20181115;101.6;20090721;20190417;XSWX;BO;FR;0
3 VINCI 12-22;CH0146839870;VIN12;14683987;109.1;;;20181203;109.1;;0;0;CHF;20180320;111.6;20181203;109;20120123;20220119;XSWX;BO;FR;0
3.125 ABN 11-21;CH0131220730;ABR114;13122073;108.6;;;20180726;108.6;;0;0;CHF;20180306;110.35;20180625;109.7;20110624;20210623;XSWX;BO;NL;0
3.125 BND IMM 31;CH0026674314;BIM06;2667431;134.1;;;20181122;134.1;;0;0;CHF;20180711;134.2;20181004;131.55;20060831;20310827;XSWX;BO;AT;0
3.125 CBK 06-25;CH0026096567;HIE06;2609656;119.9;120.05;119.9;20190111;120.7;120.05;350000;350000;CHF;20180302;121.45;20181015;118.8;20060713;20250710;XSWX;BO;DE;0
3.125 CGI 06-21;CH0026791225;CGI061;2679122;108.6;;;20181220;108.6;;0;0;CHF;20180117;112;20181220;108.7;20060922;20210922;XSWX;BO;US;0
3.125 CSG 10-30;CH0119533278;CSY10;11953327;122.2;;;20190107;122.2;;0;0;CHF;20180119;125;20181101;119.05;20101110;20301106;XSWX;BO;GG;0
3.125 DDB 13-25;CH0230277821;DDB13;23027782;102.65;;;20190109;102.65;;0;0;CHF;20180115;108.75;20181008;101.15;20131216;20251215;XSWX;BO;DK;0
3.125 DEPFA 06-23;CH0026714276;DEP062;2671427;114.55;;;20181012;114.55;;0;0;CHF;20180329;115.45;20180719;114.4;20060913;20230914;XSWX;BO;DE;0
3.125 EIB 06-36;CH0025896942;EIB06;2589694;144.1;;;20181018;144.1;;0;0;CHF;20180321;144.85;20181018;140.9;20060628;20360625;XSWX;BO;LU;200000
3.125 FTT 14-19;CH0254281626;FTT14;25428162;101.63;101.85;101.63;20190111;101.85;101.63;75000;75000;CHF;20180122;104.9;20190111;101.63;20140926;20190926;XSWX;BO;LU;0
3.125 GE 04-19;CH0019903365;GEC047;1990336;102.61;;;20190108;102.6;;0;2700000;CHF;20180116;106.8;20181120;102.15;20041201;20191203;XSWX;BO;US;0
3.125 ING 11-21;CH0125055696;ING111;12505569;107.7;;;20181203;107.7;;0;0;CHF;20180906;108.7;20181203;107.9;20110304;20210301;XSWX;BO;NL;0
3.125 RBK 06-26;CH0026620846;RBK062;2662084;120.85;;;20181128;120.85;;0;0;CHF;20180130;123.45;20181120;119.7;20060912;20260910;XSWX;BO;NL;0
3.125 RBSNV 11-21;CH0127513114;ABR112;12751311;109;;;20180626;109;;0;0;CHF;20180502;110;20180320;109.6;20110426;20210422;XSWX;BO;GB;0
3.238 DZB 13-23;CH0220734930;DZB13;22073493;111.65;;;20181214;111.65;;0;0;CHF;20181001;112.5;20180822;108;20130828;20230825;XSWX;BO;DE;0
3.25 ALLIANZSE 14-99;CH0234833371;ALM14;23483337;101.3;101.3;101.2;20190111;101.2;101.2;250000;250000;CHF;20180116;104.05;20190107;100.95;20140131;99990201;XSWX;BO;DE;0
3.25 BIM 07-19;CH0031835439;BIM071;3183543;101.99;101.99;101.99;20190111;102.04;101.99;455000;455000;CHF;20180123;105.9;20190111;101.99;20070713;20190711;XSWX;BO;AT;0
3.25 BKNWB 06-29;CH0026233491;NLW061;2623349;132.25;;;20181206;132.3;;0;0;CHF;20180702;132.8;20181012;129.65;20060804;20290802;XSWX;BO;NL;0
3.25 BNG 07-37;CH0031409177;BNG072;3140917;147.6;;;20181115;147.65;;0;0;CHF;20180629;144.5;20181115;142.4;20070628;20370624;XSWX;BO;NL;0
3.25 DEPFA 06-31;CH0026116084;DEP061;2611608;123.2;;;20181112;123.2;;0;0;CHF;20180125;122.05;20180928;119.7;20060727;20310728;XSWX;BO;IE;0
3.25 FFGROUP 17-21;CH0385518052;FFG17;38551805;7;7;7;20190111;6.9;7;55000;55000;CHF;20180503;101;20180927;5.65;20171031;20211029;XSWX;BO;LU;0
3.25 ICO 07-24;CH0031408112;ICO07;3140811;114.9;;;20181218;114.9;;0;0;CHF;20180313;117.95;20181119;114.1;20070622;20240625;XSWX;BO;ES;0
3.25 NCKTZ 18-23 /Z;CH0448036266;JSC18;44803626;100.75;100.75;100.7;20190111;100.7;100.7;55000;55000;CHF;20190111;100.75;20181218;100.2;20181204;20231201;XSWX;BO;KZ;0
3.25 OKB 06-36;CH0026213451;OKB06;2621345;145.1;;;20171211;145.1;;0;0;CHF;;;;;20060721;20360722;XSWX;BO;AT;0
3.25 POLAND 07-19;CH0030644030;POL07;3064403;101.33;;;20190109;101.33;;0;0;CHF;20180116;105.02;20190109;101.33;20070514;20190510;XSWX;BO;PL;500000
3.25 RFF 06-32;CH0025826949;RFF06;2582694;135.1;;;20190103;135.1;;0;0;CHF;20190103;136.35;20181026;131.8;20060626;20320625;XSWX;BO;FR;0
3.25 RLYE 18-24;CH0398013778;RAL18;39801377;59;59;57;20190111;58.95;57;35000;45000;CHF;20180313;100.35;20180912;37.25;20180206;20240206;XSWX;BO;FR;0
3.25 Sch Klin 14-19;CH0240625902;SKS14;24062590;100;;;20190108;99.76;;0;0;CHF;20180115;103.45;20181105;99;20140530;20190527;XSWX;BO;DE;0
3.375 ABNGB 06-31;CH0026302304;ABR063;2630230;134.8;134.8;134.8;20190111;134.9;134.8;200000;200000;CHF;20180126;138.15;20181031;133.55;20060810;20310812;XSWX;BO;GB;0
3.375 ARG REP 17-20;CH0361824458;ARG17;36182445;93.75;;;20190110;93.75;;0;0;CHF;20180115;104.05;20180905;86;20170411;20201008;XSWX;BO;AR;0
3.375 COE 08-20;CH0039266512;COE08;3926651;107.8;;;20190108;107.85;;0;0;CHF;20180911;108.5;20190108;107.85;20080505;20201103;XSWX;BO;FR;0
3.375 EIB 07-27;CH0033596476;EIB071;3359647;129.85;;;20181005;129.85;;0;0;CHF;20180411;131.45;20181005;128.05;20071011;20271012;XSWX;BO;LU;0
3.375 HOLCIM 11-21;CH0128250583;HOF11;12825058;107.7;107.7;107.7;20190111;108;107.7;50000;50000;CHF;20180130;110.95;20190111;107.7;20110608;20210607;XSWX;BO;BM;0
3.375 KKA 06-26;CH0025662831;KKA062;2566283;121.65;;;20181214;121.65;;0;0;CHF;20180529;122.65;20181005;119.45;20060619;20260616;XSWX;BO;AT;0
3.375 ONT 09-19;CH0101032537;ONT09;10103253;101.24;;;20181116;101.25;;0;0;CHF;20180212;105.14;20181116;101.79;20090424;20190424;XSWX;BO;CA;0
3.375 OPBC 11-21;CH0132112993;POH11;13211299;110.7;;;20180918;110.7;;0;0;CHF;20180918;110.9;20180918;110.9;20110713;20210709;XSWX;BO;FI;0
3.375 SCOR 14-99;CH0255497452;SCR14;25549745;104.4;;;20190109;104.4;;0;0;CHF;20180531;107.05;20181228;103;20141016;;XSWX;BO;FR;500000
3.45 TELEF 12-22;CH0200252788;TEL121;20025278;111.55;;;20190108;111.55;;0;0;CHF;20180206;115.35;20181212;111.1;20121212;20221209;XSWX;BO;ES;0
3.50 CFFL 07-19;CH0033023216;DEX071;3302321;102.64;;;20181109;102.66;;0;0;CHF;20180626;104.96;20181109;103.35;20070823;20190823;XSWX;BO;FR;450000
3.50 RBK 07-23;CH0033037679;RBK072;3303767;116.5;;;20181221;116.5;;0;0;CHF;20180221;118.8;20181203;116;20070829;20230828;XSWX;BO;NL;0
3.625 RBK 09-19;CH0101589353;RBK092;10158935;102.06;;;20181026;102.07;;0;0;CHF;20180124;106.35;20181026;102.84;20090623;20190627;XSWX;BO;NL;0
3.638 NCKTZ 14-22;CH0246199050;NCK141;24619905;101.9;101.9;101.9;20190111;101.9;101.9;10000;10000;CHF;20180406;107.45;20190111;101.9;20140618;20220616;XSWX;BO;KZ;0
3.75 YPF 16-19;CH0336352825;YPF16;33635282;100.25;100.25;100.04;20190111;100.24;100.04;155000;155000;CHF;20180119;103.6;20180831;94.18;20160928;20190926;XSWX;BO;AR;0
4 AFRIC 16-20;CH0310140568;ABL162;31014056;100;100;98.25;20190111;99.5;99.5;68000;68000;CHF;20180409;102.5;20181018;95.55;20160404;20200702;XSWX;BO;ZA;0
4 ENELI 12-27;CH0198415074;ENF121;19841507;123.1;;;20190109;123.1;;0;0;CHF;20180117;130.7;20181120;117.95;20121025;20271021;XSWX;BO;NL;0
4 RLYE 16-20;CH0341440326;RAL16;34144032;85;85;83.05;20190111;85;85;70000;70000;CHF;20180117;104.25;20180913;40;20161121;20201119;XSWX;BO;FR;0
4.25 UIB 12-22;CH0195512519;UCI12;19551251;110.2;;;20181219;110.2;;0;0;CHF;20180517;117;20181213;109.6;20121017;20221014;XSWX;BO;IE;0
4.75 AFRIC 16-19;CH0310140543;ABL161;31014054;98.71;;;20190110;98.65;;0;0;CHF;20180312;101.99;20180907;95.96;20160404;20190314;XSWX;BO;ZA;0
4.75 INVCORP 14-19;CH0244725328;IVT14;24472532;101.37;101.37;101.13;20190111;101.14;101.27;110000;110000;CHF;20180226;104;20181227;100.94;20140610;20190607;XSWX;BO;LU;0
4.75 RAIFFINT 12-22;CH0194405343;RBI12;19440534;109;;;20190109;109;;0;0;CHF;20180119;119.9;20181228;108.75;20121022;20221019;XSWX;BO;AT;0
4.75 SOU CA86-9999;CH0008977131;SOU862;897713;47;;;20180921;47;;0;0;CHF;20180507;51;20180921;47;19960816;;XSWX;FI;US;0
5 AFRIC 16-22;CH0310140600;ABL164;31014060;100.5;100.5;100.5;20190111;98.55;100.5;48000;48000;CHF;20180309;104.45;20181030;96.75;20160404;20220420;XSWX;BO;ZA;0
5 JSC VTB 14-24;CH0248531110;VTB14;24853111;102.3;;;20190110;102.45;;0;0;CHF;20180711;104.5;20180410;97.7;20140722;20241022;XSWX;CO;RU;200000
5.125 GBP 14-24;CH0229318099;GPB14;22931809;100.65;100.65;100.3;20190111;100.5;100.5;140000;140000;CHF;20180703;104;20180410;97.3;20140211;20240508;XSWX;CO;RU;0
5.338 SRLEV 11-99;CH0130249581;SRL11;13024958;101.6;101.6;101.05;20190111;101.15;101.05;130000;130000;CHF;20180206;104.05;20180404;99.85;20110715;;XSWX;BO;NL;0
5.50 AFRIC 16-21;CH0310140584;ABL163;31014058;99;;;20190108;98.2;;0;0;CHF;20180322;104.45;20180122;97.25;20160404;20210603;XSWX;BO;ZA;0
5.50 MAXW CV 89-94/SDL;CH0003658223;MAX89;365822;15;;;;15;;0;0;CHF;;;;;20141117;;XSWX;CB;GB;0
5.625 AIRBERLIN 14-19;XS1051723895;AIB14;24346372;1.5;;;20190110;1.36;;0;0;CHF;20180131;7.2;20180920;0.32;20140813;20190507;XSWX;BO;GB;0
5.625 POLLY PE88-94/SDL;CH0007054882;PPE885;705488;0.03;;;20160512;0.03;;0;0;CHF;;;;;19960816;;XSWX;BO;KY;0
5.75 KLM NA 86-9999;CH0005362097;KLM863;536209;102;102;101.25;20190111;101.25;101.25;105000;105000;CHF;20180119;106.5;20180507;95;19960816;;XSWX;BO;NL;0
5.75 POLLY PE 88-93/SDL;CH0007054742;PPE88;705474;0.03;;;20151015;0.03;;0;0;CHF;;;;;19960816;;XSWX;BO;KY;0
6 COH CV 85-95/SDL;CH0008712959;COH85;871295;50;;;;50;;0;0;CHF;;;;;20141117;;XSWX;CB;US;0
6 MARQUEST A86-94/SDL;CH0008845247;MAM86;884524;5;;;;5;;0;0;CHF;;;;;19960816;;XSWX;BO;US;0
6 MARQUEST B 86-94/SDL;CH0000804945;MAM86P;80494;25;;;;25;;0;0;CHF;;;;;19960816;;XSWX;BO;US;0
6 POLLY PE 87-92/SDL;CH0007054015;PPE870;705401;0.03;;;20160323;0.03;;0;0;CHF;;;;;19960816;;XSWX;BO;KY;0
6.25 POLLY PE 87-90/SDL;CH0007054304;PPE87;705430;0.03;;;20160513;0.03;;0;0;CHF;;;;;19960816;;XSWX;BO;KY;0
6.25 POLLY PE 89-96/SDL;CH0007055665;PPE89;705566;0.03;;;20160721;0.03;;0;0;CHF;;;;;19960816;;XSWX;BO;KY;0
7 ARG REP 96-03/SDL;CH0005458101;ARG96;545810;45;;;20190110;42;;0;0;CHF;20180410;50;20180312;25;19961202;;XSWX;BO;AR;0
7.75 BUA PR 96-03/SDL;CH0005243701;BUA96;524370;4.9;;;20190110;4.9;;0;0;CHF;20180615;15;20181121;1;19961015;;XSWX;BO;AR;0
8.75 POLLY PE 90-97/SDL;CH0007067793;PPE90;706779;0.1;;;20140415;0.1;;0;0;CHF;;;;;19960816;;XSWX;BO;KY;0
MAXW LIQU 93-9999/SDL;CH0001129714;MAXL;112971;0.3;;;20160705;0.3;;0;0;CHF;;;;;19960816;;XSWX;BO;GB;0

Produced at: 23:35:02 2019-01-11
